sound,person,word,utter,phoneme,part_word,poa_prev,moa_prev,poa_next,moa_next,f1,f2,time,start,end,duration,ln_f1,ln_f2,norm_f1,norm_f2
T_POKEMAN_total_336,FA,ɩsɩ,u1,ɩ,pref ,none,none,dental,fricative,374.1838615,2006.659803,365.841941,96,365.793941,365.889941,5.924747285,7.604226829,-0.184667715,0.318362829
T_POKEMAN_total_336,FA,ɩsɩ,u1,ɩ, root ,dental,fricative,none,none,321.9557225,2028.990923,366.0960493,90.13912196,366.0509798,366.1411189,5.774414028,7.615293866,-0.335000972,0.329429866
T_POKEMAN_total_336,FA,ɩsɩ,u2,ɩ,pref ,none,none,dental,fricative,366.4939512,2050.377592,367.772941,102,367.721941,367.823941,5.903982017,7.625779246,-0.205432983,0.339915246
T_POKEMAN_total_417,FA,jaŋɩl ,u3,ɩ,root,velar,nasal,dental,lateral,514.1723482,1609.39028,1712.121916,58.82743123,1712.092502,1712.15133,6.242558517,7.383610678,0.133143517,0.097746678
T_POKEMAN_total_395,FA,kɔsɩ,u3,ɩ,root,dental,fricative,none,none,299.0783853,2034.657587,1293.787304,42.11509281,1293.766247,1293.808362,5.700705697,7.618082822,-0.408709303,0.332218822
T_POKEMAN_total_395,FA,kɔsɩ,u2,ɩ,root,dental,fricative,none,none,287.2678412,2157.902045,1292.087189,38.10413159,1292.068137,1292.106241,5.660415025,7.676891753,-0.448999975,0.391027753
T_POKEMAN_total_339,FA,kɩnkɩn,u1,ɩ,root,velar,stop,dental,nasal,400.6469799,1498.539342,414.6032501,50.3102076,414.578095,414.6284053,5.99308069,7.312246141,-0.11633431,0.026382141
T_POKEMAN_total_339,FA,kɩnkɩn,u2,ɩ,root,velar,stop,dental,nasal,435.9714515,1512.670631,416.6332766,71.24586831,416.5976537,416.6688995,6.077576763,7.321631997,-0.031838237,0.035767997
T_POKEMAN_total_339,FA,kɩnkɩn,u3,ɩ,root,velar,stop,dental,nasal,341.5741664,1567.401595,418.1370283,64.98401816,418.1045363,418.1695203,5.833564834,7.357174492,-0.275850166,0.071310492
T_POKEMAN_total_339,FA,kɩnkɩn,u3,ɩ,root,velar,stop,dental,nasal,428.2368542,1581.867341,417.915873,54.50272491,417.8886216,417.9431243,6.05967644,7.36636129,-0.04973856,0.08049729
T_POKEMAN_total_339,FA,kɩnkɩn,u1,ɩ,root,velar,stop,dental,nasal,452.8795691,1597.319586,414.3579879,54.50272491,414.3307365,414.3852392,6.115626238,7.376082245,0.006211238,0.090218245
T_POKEMAN_total_339,FA,kɩnkɩn,u2,ɩ,root,velar,stop,dental,nasal,414.3170307,1601.863262,416.3932415,52.40646626,416.3670383,416.4194447,6.026631455,7.378922769,-0.082783545,0.093058769
T_POKEMAN_total_340,FA,kɛbɩ,u1,ɩ,root,labial,stop,none,none,256.5387338,2123.711474,421.6754684,40.94528396,421.6549958,421.695941,5.547279662,7.660920532,-0.562135338,0.375056532
T_POKEMAN_total_340,FA,kɛbɩ,u2,ɩ,root,labial,stop,none,none,262.1955321,2170.053764,423.5013915,56.59898356,423.473092,423.529691,5.569090531,7.682507222,-0.540324469,0.396643222
T_POKEMAN_total_377,FA,malɩ ,u3,ɩ,root,dental,lateral,none,none,319.903348,1698.716399,1033.63609,64.29880652,1033.603941,1033.66824,5.768018913,7.437628185,-0.341396087,0.151764185
T_POKEMAN_total_362,FA,nagɩ ,u1,ɩ,root,velar,stop,none,none,345.4373593,2134.838245,811.870941,86,811.827941,811.913941,5.844811322,7.666146159,-0.264603678,0.380282159
T_POKEMAN_total_417,FA,najaŋɩl,u2,ɩ,root,velar,nasal,dental,lateral,480.6648177,1466.818073,1725.643093,44.56623578,1725.62081,1725.665376,6.175170182,7.290850758,0.065755182,0.004986758
T_POKEMAN_total_417,FA,najaŋɩl,u3,ɩ,root,velar,nasal,dental,lateral,497.2809351,1486.266626,1727.057789,35.69538882,1727.039941,1727.075636,6.209155128,7.304022634,0.099740128,0.018158634
T_POKEMAN_total_417,FA,najaŋɩl,u1,ɩ,root,velar,nasal,dental,lateral,517.3167512,1536.816751,1724.111745,44.56623578,1724.089462,1724.134028,6.248655358,7.337468511,0.139240358,0.051604511
T_POKEMAN_total_402,FA,natɩ,u2,ɩ,root,dental,stop,none,none,245.7741483,1876.224757,1418.079696,83.03567664,1418.038178,1418.121214,5.504413018,7.537016929,-0.605001982,0.251152929
T_POKEMAN_total_402,FA,natɩ,u3,ɩ,root,dental,stop,none,none,252.4516153,1971.376874,1419.308195,80.58665384,1419.267902,1419.348488,5.531219608,7.586487498,-0.578195392,0.300623498
T_POKEMAN_total_372,FA,ɲɩra ,u2,ɩ,root,palatal,nasal,dental,thrill,462.5495754,1716.181556,974.84387,43.66379566,974.8220381,974.8657019,6.136753741,7.447857076,0.027338741,0.161993076
T_POKEMAN_total_372,FA,ɲɩra ,u3,ɩ,root,palatal,nasal,dental,thrill,453.6619608,1716.462789,976.5225569,45.23164281,976.499941,976.5451727,6.117352341,7.448020934,0.007937341,0.162156934
T_POKEMAN_total_311,FA,njɩ,u2,ɩ,root,palatal,affricate,none,none,282.5817061,2143.123173,81.66127905,89.62500467,81.61646655,81.70609156,5.643967734,7.670019471,-0.465447266,0.384155471
T_POKEMAN_total_311,FA,njɩ,u3,ɩ,root,palatal,affricate,none,none,291.7132438,2571.663353,83.25607047,52.25884522,83.22994104,83.28219989,5.675771278,7.852308188,-0.433643722,0.566444188
T_POKEMAN_total_417,FA,ŋjaŋɩl ,u2,ɩ,root,velar,nasal,dental,lateral,502.8634043,1499.99309,1718.358528,37.17299792,1718.339941,1718.377114,6.220318571,7.31321578,0.110903571,0.02735178
T_POKEMAN_total_417,FA,ŋjaŋɩl ,u1,ɩ,root,velar,nasal,dental,lateral,461.7969758,1374.841631,1716.811919,43.95564735,1716.789941,1716.833897,6.135125348,7.226093826,0.025710348,-0.059770174
T_POKEMAN_total_396,FA,sɩka,u2,ɩ,root,dental,fricative,velar,stop,332.4557407,1498.983422,1324.949814,34.09317037,1324.932768,1324.966861,5.806506741,7.312542439,-0.302908259,0.026678439
T_POKEMAN_total_396,FA,sɩka,u3,ɩ,root,dental,fricative,velar,stop,355.8066629,1531.590037,1326.809838,40.1096122,1326.789783,1326.829893,5.874387502,7.334061715,-0.235027498,0.048197715
T_POKEMAN_total_316,FA,akondel,u1,o, root ,velar,stop,dental,nasal,440.406486,1057.70664,142.9272433,51.42288964,142.9015319,142.9529547,6.087698132,6.963858296,-0.021716868,-0.322005704
T_POKEMAN_total_316,FA,akondel,u2,o, root ,velar,stop,dental,nasal,423.709697,1176.547798,144.750256,63.37010761,144.7185709,144.781941,6.049048544,7.070339835,-0.060366456,-0.215524165
T_POKEMAN_total_316,FA,akondel,u3,o, root ,velar,stop,dental,nasal,427.017694,1112.714408,146.3404195,67.04317115,146.3068979,146.373941,6.05682545,7.014557722,-0.05258955,-0.271306278
T_POKEMAN_total_332,FA,akpo,u2,o, root ,labiovelar,stop,none,none,407.6784242,689.9633332,335.5328531,83.85034601,335.4909279,335.5747782,6.010478688,6.536638456,-0.098936312,-0.749225544
T_POKEMAN_total_332,FA,akpo,u3,o, root ,labiovelar,stop,none,none,342.2512201,750.8170015,337.1915662,79.65782871,337.1517373,337.2313951,5.835545029,6.621161949,-0.273869971,-0.664702051
T_POKEMAN_total_327,FA,gokoli,u3,o,pref ,velar,stop,none,none,437.5557465,1304.787739,260.016381,58.02172014,259.9873702,260.0453919,6.081204118,7.173795654,-0.028210882,-0.112068346
T_POKEMAN_total_327,FA,gokoli,u1,o,pref ,velar,stop,velar,stop,424.1328393,1380.953851,256.7193417,52.01947323,256.693332,256.7453515,6.050046706,7.230529736,-0.059368294,-0.055334264
T_POKEMAN_total_327,FA,gokoli,u2,o,pref ,velar,stop,velar,stop,407.9691336,1412.728964,258.4353309,50.01872426,258.4103215,258.4603402,6.011191519,7.253278548,-0.098223481,-0.032585452
T_POKEMAN_total_341,FA,bo,u1,o,root,labial,stop,none,none,473.1661173,841.7249338,439.1252389,118.5957826,439.065941,439.1845368,6.159446526,6.735453279,0.050031526,-0.550410721
T_POKEMAN_total_341,FA,bo,u2,o,root,labial,stop,none,none,495.1331658,841.7220155,440.646424,127.3062073,440.5827709,440.7100771,6.204826748,6.735449812,0.095411748,-0.550414188
